,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/DDAD/val/000007/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000007/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000007/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000007/CAMERA_06/image.png
1,1,../../data/moge_dataset/DDAD/val/000016/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000016/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000016/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000016/CAMERA_05/image.png
2,2,../../data/moge_dataset/DDAD/val/000019/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000019/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000019/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000019/CAMERA_05/image.png
3,3,../../data/moge_dataset/DDAD/val/000024/CAMERA_01/image.jpg,../../data/moge_dataset/DDAD/val/000024/CAMERA_01/depth.png,../../data/moge_dataset/DDAD/val/000024/CAMERA_01/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000024/CAMERA_01/image.png
4,4,../../data/moge_dataset/DDAD/val/000033/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000033/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000033/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000033/CAMERA_06/image.png
5,5,../../data/moge_dataset/DDAD/val/000034/CAMERA_09/image.jpg,../../data/moge_dataset/DDAD/val/000034/CAMERA_09/depth.png,../../data/moge_dataset/DDAD/val/000034/CAMERA_09/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000034/CAMERA_09/image.png
6,6,../../data/moge_dataset/DDAD/val/000037/CAMERA_01/image.jpg,../../data/moge_dataset/DDAD/val/000037/CAMERA_01/depth.png,../../data/moge_dataset/DDAD/val/000037/CAMERA_01/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000037/CAMERA_01/image.png
7,7,../../data/moge_dataset/DDAD/val/000040/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000040/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000040/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000040/CAMERA_06/image.png
8,8,../../data/moge_dataset/DDAD/val/000050/CAMERA_01/image.jpg,../../data/moge_dataset/DDAD/val/000050/CAMERA_01/depth.png,../../data/moge_dataset/DDAD/val/000050/CAMERA_01/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000050/CAMERA_01/image.png
9,9,../../data/moge_dataset/DDAD/val/000055/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000055/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000055/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000055/CAMERA_05/image.png
10,10,../../data/moge_dataset/DDAD/val/000056/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000056/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000056/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000056/CAMERA_06/image.png
11,11,../../data/moge_dataset/DDAD/val/000061/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000061/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000061/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000061/CAMERA_06/image.png
12,12,../../data/moge_dataset/DDAD/val/000061/CAMERA_09/image.jpg,../../data/moge_dataset/DDAD/val/000061/CAMERA_09/depth.png,../../data/moge_dataset/DDAD/val/000061/CAMERA_09/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000061/CAMERA_09/image.png
13,13,../../data/moge_dataset/DDAD/val/000065/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000065/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000065/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000065/CAMERA_06/image.png
14,14,../../data/moge_dataset/DDAD/val/000065/CAMERA_09/image.jpg,../../data/moge_dataset/DDAD/val/000065/CAMERA_09/depth.png,../../data/moge_dataset/DDAD/val/000065/CAMERA_09/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000065/CAMERA_09/image.png
15,15,../../data/moge_dataset/DDAD/val/000068/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000068/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000068/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000068/CAMERA_06/image.png
16,16,../../data/moge_dataset/DDAD/val/000080/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000080/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000080/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000080/CAMERA_05/image.png
17,17,../../data/moge_dataset/DDAD/val/000094/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000094/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000094/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000094/CAMERA_06/image.png
18,18,../../data/moge_dataset/DDAD/val/000095/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000095/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000095/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000095/CAMERA_06/image.png
19,19,../../data/moge_dataset/DDAD/val/000100/CAMERA_01/image.jpg,../../data/moge_dataset/DDAD/val/000100/CAMERA_01/depth.png,../../data/moge_dataset/DDAD/val/000100/CAMERA_01/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000100/CAMERA_01/image.png
20,20,../../data/moge_dataset/DDAD/val/000101/CAMERA_09/image.jpg,../../data/moge_dataset/DDAD/val/000101/CAMERA_09/depth.png,../../data/moge_dataset/DDAD/val/000101/CAMERA_09/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000101/CAMERA_09/image.png
21,21,../../data/moge_dataset/DDAD/val/000104/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000104/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000104/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000104/CAMERA_05/image.png
22,22,../../data/moge_dataset/DDAD/val/000106/CAMERA_05/image.jpg,../../data/moge_dataset/DDAD/val/000106/CAMERA_05/depth.png,../../data/moge_dataset/DDAD/val/000106/CAMERA_05/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000106/CAMERA_05/image.png
23,23,../../data/moge_dataset/DDAD/val/000106/CAMERA_06/image.jpg,../../data/moge_dataset/DDAD/val/000106/CAMERA_06/depth.png,../../data/moge_dataset/DDAD/val/000106/CAMERA_06/meta.json,DDAD,../../data/depthanything/moge_dataset/DDAD/val/000106/CAMERA_06/image.png
