,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_010/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_010/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_010/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_010/image.png
1,1,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040/image.png
2,2,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_000/image.png
3,3,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_020/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_020/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_020/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_010_020/image.png
4,4,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_030/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_030/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_030/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_030/image.png
5,5,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_050/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_050/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_050/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_020_050/image.png
6,6,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_010/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_010/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_010/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_010/image.png
7,7,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_030_040/image.png
8,8,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_000/image.png
9,9,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_030/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_030/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_030/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_040_030/image.png
10,10,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_050_010/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_050_010/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_050_010/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_050_010/image.png
11,11,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_060_000/image.png
12,12,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_080_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_080_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_080_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_080_000/image.png
13,13,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_000/image.png
14,14,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_050/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_050/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_050/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_110_050/image.png
15,15,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_010/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_010/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_010/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_010/image.png
16,16,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_030/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_030/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_030/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_120_030/image.png
17,17,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_000/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_000/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_000/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_000/image.png
18,18,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_020/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_020/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_020/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_020/image.png
19,19,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_040/image.jpg,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_040/depth.png,../../data/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_040/meta.json,DIODE,../../data/depthanything/moge_dataset/DIODE/val/indoors/scene_00019/scan_00183/00019_00183_indoors_130_040/image.png
