,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/ETH3D/courtyard/DSC_0286/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0286/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0286/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0286/image.png
1,1,../../data/moge_dataset/ETH3D/courtyard/DSC_0287/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0287/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0287/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0287/image.png
2,2,../../data/moge_dataset/ETH3D/courtyard/DSC_0288/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0288/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0288/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0288/image.png
3,3,../../data/moge_dataset/ETH3D/courtyard/DSC_0289/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0289/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0289/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0289/image.png
4,4,../../data/moge_dataset/ETH3D/courtyard/DSC_0290/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0290/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0290/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0290/image.png
5,5,../../data/moge_dataset/ETH3D/courtyard/DSC_0291/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0291/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0291/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0291/image.png
6,6,../../data/moge_dataset/ETH3D/courtyard/DSC_0292/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0292/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0292/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0292/image.png
7,7,../../data/moge_dataset/ETH3D/courtyard/DSC_0293/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0293/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0293/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0293/image.png
8,8,../../data/moge_dataset/ETH3D/courtyard/DSC_0294/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0294/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0294/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0294/image.png
9,9,../../data/moge_dataset/ETH3D/courtyard/DSC_0295/image.jpg,../../data/moge_dataset/ETH3D/courtyard/DSC_0295/depth.png,../../data/moge_dataset/ETH3D/courtyard/DSC_0295/meta.json,ETH3D,../../data/depthanything/moge_dataset/ETH3D/courtyard/DSC_0295/image.png
