,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/GSO/11pro_SL_TRX_FG/image.jpg,../../data/moge_dataset/GSO/11pro_SL_TRX_FG/depth.png,../../data/moge_dataset/GSO/11pro_SL_TRX_FG/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/11pro_SL_TRX_FG/image.png
1,1,../../data/moge_dataset/GSO/2_of_Jenga_Classic_Game/image.jpg,../../data/moge_dataset/GSO/2_of_Jenga_Classic_Game/depth.png,../../data/moge_dataset/GSO/2_of_Jenga_Classic_Game/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/2_of_Jenga_Classic_Game/image.png
2,2,../../data/moge_dataset/GSO/30_CONSTRUCTION_SET/image.jpg,../../data/moge_dataset/GSO/30_CONSTRUCTION_SET/depth.png,../../data/moge_dataset/GSO/30_CONSTRUCTION_SET/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/30_CONSTRUCTION_SET/image.png
3,3,../../data/moge_dataset/GSO/3D_Dollhouse_Happy_Brother/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Happy_Brother/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Happy_Brother/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Happy_Brother/image.png
4,4,../../data/moge_dataset/GSO/3D_Dollhouse_Lamp/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Lamp/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Lamp/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Lamp/image.png
5,5,../../data/moge_dataset/GSO/3D_Dollhouse_Refrigerator/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Refrigerator/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Refrigerator/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Refrigerator/image.png
6,6,../../data/moge_dataset/GSO/3D_Dollhouse_Sink/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Sink/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Sink/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Sink/image.png
7,7,../../data/moge_dataset/GSO/3D_Dollhouse_Sofa/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Sofa/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Sofa/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Sofa/image.png
8,8,../../data/moge_dataset/GSO/3D_Dollhouse_Swing/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_Swing/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_Swing/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_Swing/image.png
9,9,../../data/moge_dataset/GSO/3D_Dollhouse_TablePurple/image.jpg,../../data/moge_dataset/GSO/3D_Dollhouse_TablePurple/depth.png,../../data/moge_dataset/GSO/3D_Dollhouse_TablePurple/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3D_Dollhouse_TablePurple/image.png
10,10,../../data/moge_dataset/GSO/3M_Antislip_Surfacing_Light_Duty_White/image.jpg,../../data/moge_dataset/GSO/3M_Antislip_Surfacing_Light_Duty_White/depth.png,../../data/moge_dataset/GSO/3M_Antislip_Surfacing_Light_Duty_White/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3M_Antislip_Surfacing_Light_Duty_White/image.png
11,11,../../data/moge_dataset/GSO/3M_Vinyl_Tape_Green_1_x_36_yd/image.jpg,../../data/moge_dataset/GSO/3M_Vinyl_Tape_Green_1_x_36_yd/depth.png,../../data/moge_dataset/GSO/3M_Vinyl_Tape_Green_1_x_36_yd/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/3M_Vinyl_Tape_Green_1_x_36_yd/image.png
12,12,../../data/moge_dataset/GSO/45oz_RAMEKIN_ASST_DEEP_COLORS/image.jpg,../../data/moge_dataset/GSO/45oz_RAMEKIN_ASST_DEEP_COLORS/depth.png,../../data/moge_dataset/GSO/45oz_RAMEKIN_ASST_DEEP_COLORS/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/45oz_RAMEKIN_ASST_DEEP_COLORS/image.png
13,13,../../data/moge_dataset/GSO/50_BLOCKS/image.jpg,../../data/moge_dataset/GSO/50_BLOCKS/depth.png,../../data/moge_dataset/GSO/50_BLOCKS/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/50_BLOCKS/image.png
14,14,../../data/moge_dataset/GSO/5_HTP/image.jpg,../../data/moge_dataset/GSO/5_HTP/depth.png,../../data/moge_dataset/GSO/5_HTP/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/5_HTP/image.png
15,15,../../data/moge_dataset/GSO/60_CONSTRUCTION_SET/image.jpg,../../data/moge_dataset/GSO/60_CONSTRUCTION_SET/depth.png,../../data/moge_dataset/GSO/60_CONSTRUCTION_SET/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/60_CONSTRUCTION_SET/image.png
16,16,../../data/moge_dataset/GSO/ACE_Coffee_Mug_Kristen_16_oz_cup/image.jpg,../../data/moge_dataset/GSO/ACE_Coffee_Mug_Kristen_16_oz_cup/depth.png,../../data/moge_dataset/GSO/ACE_Coffee_Mug_Kristen_16_oz_cup/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ACE_Coffee_Mug_Kristen_16_oz_cup/image.png
17,17,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT/image.jpg,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT/depth.png,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ALPHABET_AZ_GRADIENT/image.png
18,18,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT_WQb1ufEycSj/image.jpg,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT_WQb1ufEycSj/depth.png,../../data/moge_dataset/GSO/ALPHABET_AZ_GRADIENT_WQb1ufEycSj/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ALPHABET_AZ_GRADIENT_WQb1ufEycSj/image.png
19,19,../../data/moge_dataset/GSO/AMBERLIGHT_UP_W/image.jpg,../../data/moge_dataset/GSO/AMBERLIGHT_UP_W/depth.png,../../data/moge_dataset/GSO/AMBERLIGHT_UP_W/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/AMBERLIGHT_UP_W/image.png
20,20,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteBlackSilver/image.jpg,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteBlackSilver/depth.png,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteBlackSilver/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GEL1140V_WhiteBlackSilver/image.png
21,21,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteRoyalSilver/image.jpg,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteRoyalSilver/depth.png,../../data/moge_dataset/GSO/ASICS_GEL1140V_WhiteRoyalSilver/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GEL1140V_WhiteRoyalSilver/image.png
22,22,../../data/moge_dataset/GSO/ASICS_GELAce_Pro_Pearl_WhitePink/image.jpg,../../data/moge_dataset/GSO/ASICS_GELAce_Pro_Pearl_WhitePink/depth.png,../../data/moge_dataset/GSO/ASICS_GELAce_Pro_Pearl_WhitePink/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELAce_Pro_Pearl_WhitePink/image.png
23,23,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange/image.jpg,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange/depth.png,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange/image.png
24,24,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_Flash_YellowHot_PunchSilver/image.jpg,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_Flash_YellowHot_PunchSilver/depth.png,../../data/moge_dataset/GSO/ASICS_GELBlur33_20_GS_Flash_YellowHot_PunchSilver/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELBlur33_20_GS_Flash_YellowHot_PunchSilver/image.png
25,25,../../data/moge_dataset/GSO/ASICS_GELChallenger_9_Royal_BlueWhiteBlack/image.jpg,../../data/moge_dataset/GSO/ASICS_GELChallenger_9_Royal_BlueWhiteBlack/depth.png,../../data/moge_dataset/GSO/ASICS_GELChallenger_9_Royal_BlueWhiteBlack/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELChallenger_9_Royal_BlueWhiteBlack/image.png
26,26,../../data/moge_dataset/GSO/ASICS_GELDirt_Dog_4_SunFlameBlack/image.jpg,../../data/moge_dataset/GSO/ASICS_GELDirt_Dog_4_SunFlameBlack/depth.png,../../data/moge_dataset/GSO/ASICS_GELDirt_Dog_4_SunFlameBlack/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELDirt_Dog_4_SunFlameBlack/image.png
27,27,../../data/moge_dataset/GSO/ASICS_GELLinksmaster_WhiteCoffeeSand/image.jpg,../../data/moge_dataset/GSO/ASICS_GELLinksmaster_WhiteCoffeeSand/depth.png,../../data/moge_dataset/GSO/ASICS_GELLinksmaster_WhiteCoffeeSand/meta.json,GSO,../../data/depthanything/moge_dataset/GSO/ASICS_GELLinksmaster_WhiteCoffeeSand/image.png
