,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/HAMMER/scene10_traj1_1/000000/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000000/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000000/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000000/image.png
1,1,../../data/moge_dataset/HAMMER/scene10_traj1_1/000010/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000010/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000010/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000010/image.png
2,2,../../data/moge_dataset/HAMMER/scene10_traj1_1/000020/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000020/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000020/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000020/image.png
3,3,../../data/moge_dataset/HAMMER/scene10_traj1_1/000030/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000030/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000030/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000030/image.png
4,4,../../data/moge_dataset/HAMMER/scene10_traj1_1/000040/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000040/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000040/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000040/image.png
5,5,../../data/moge_dataset/HAMMER/scene10_traj1_1/000050/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000050/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000050/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000050/image.png
6,6,../../data/moge_dataset/HAMMER/scene10_traj1_1/000060/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000060/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000060/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000060/image.png
7,7,../../data/moge_dataset/HAMMER/scene10_traj1_1/000070/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000070/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000070/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000070/image.png
8,8,../../data/moge_dataset/HAMMER/scene10_traj1_1/000080/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000080/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000080/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000080/image.png
9,9,../../data/moge_dataset/HAMMER/scene10_traj1_1/000090/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000090/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000090/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000090/image.png
10,10,../../data/moge_dataset/HAMMER/scene10_traj1_1/000100/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000100/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000100/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000100/image.png
11,11,../../data/moge_dataset/HAMMER/scene10_traj1_1/000110/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000110/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000110/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000110/image.png
12,12,../../data/moge_dataset/HAMMER/scene10_traj1_1/000120/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000120/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000120/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000120/image.png
13,13,../../data/moge_dataset/HAMMER/scene10_traj1_1/000130/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000130/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000130/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000130/image.png
14,14,../../data/moge_dataset/HAMMER/scene10_traj1_1/000140/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000140/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000140/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000140/image.png
15,15,../../data/moge_dataset/HAMMER/scene10_traj1_1/000150/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000150/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000150/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000150/image.png
16,16,../../data/moge_dataset/HAMMER/scene10_traj1_1/000160/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000160/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000160/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000160/image.png
17,17,../../data/moge_dataset/HAMMER/scene10_traj1_1/000170/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000170/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000170/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000170/image.png
18,18,../../data/moge_dataset/HAMMER/scene10_traj1_1/000180/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000180/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000180/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000180/image.png
19,19,../../data/moge_dataset/HAMMER/scene10_traj1_1/000190/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000190/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000190/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000190/image.png
20,20,../../data/moge_dataset/HAMMER/scene10_traj1_1/000200/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000200/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000200/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000200/image.png
21,21,../../data/moge_dataset/HAMMER/scene10_traj1_1/000210/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000210/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000210/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000210/image.png
22,22,../../data/moge_dataset/HAMMER/scene10_traj1_1/000220/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000220/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000220/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000220/image.png
23,23,../../data/moge_dataset/HAMMER/scene10_traj1_1/000230/image.jpg,../../data/moge_dataset/HAMMER/scene10_traj1_1/000230/depth.png,../../data/moge_dataset/HAMMER/scene10_traj1_1/000230/meta.json,HAMMER,../../data/depthanything/moge_dataset/HAMMER/scene10_traj1_1/000230/image.png
