,image,depth,normal,control_geo
0,../../data/IRS/OfficeMedley3_BL2/l_02328.png,../../data/IRS/OfficeMedley3_BL2/d_02328.exr,../../data/IRS/OfficeMedley3_BL2/n_02328.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02328.png
1,../../data/IRS/OfficeMedley3_BL2/l_02329.png,../../data/IRS/OfficeMedley3_BL2/d_02329.exr,../../data/IRS/OfficeMedley3_BL2/n_02329.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02329.png
2,../../data/IRS/OfficeMedley3_BL2/l_02330.png,../../data/IRS/OfficeMedley3_BL2/d_02330.exr,../../data/IRS/OfficeMedley3_BL2/n_02330.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02330.png
3,../../data/IRS/OfficeMedley3_BL2/l_02331.png,../../data/IRS/OfficeMedley3_BL2/d_02331.exr,../../data/IRS/OfficeMedley3_BL2/n_02331.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02331.png
4,../../data/IRS/OfficeMedley3_BL2/l_02332.png,../../data/IRS/OfficeMedley3_BL2/d_02332.exr,../../data/IRS/OfficeMedley3_BL2/n_02332.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02332.png
5,../../data/IRS/OfficeMedley3_BL2/l_02333.png,../../data/IRS/OfficeMedley3_BL2/d_02333.exr,../../data/IRS/OfficeMedley3_BL2/n_02333.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02333.png
6,../../data/IRS/OfficeMedley3_BL2/l_02334.png,../../data/IRS/OfficeMedley3_BL2/d_02334.exr,../../data/IRS/OfficeMedley3_BL2/n_02334.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02334.png
7,../../data/IRS/OfficeMedley3_BL2/l_02335.png,../../data/IRS/OfficeMedley3_BL2/d_02335.exr,../../data/IRS/OfficeMedley3_BL2/n_02335.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02335.png
8,../../data/IRS/OfficeMedley3_BL2/l_02336.png,../../data/IRS/OfficeMedley3_BL2/d_02336.exr,../../data/IRS/OfficeMedley3_BL2/n_02336.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02336.png
9,../../data/IRS/OfficeMedley3_BL2/l_02337.png,../../data/IRS/OfficeMedley3_BL2/d_02337.exr,../../data/IRS/OfficeMedley3_BL2/n_02337.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02337.png
10,../../data/IRS/OfficeMedley3_BL2/l_02338.png,../../data/IRS/OfficeMedley3_BL2/d_02338.exr,../../data/IRS/OfficeMedley3_BL2/n_02338.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02338.png
11,../../data/IRS/OfficeMedley3_BL2/l_02339.png,../../data/IRS/OfficeMedley3_BL2/d_02339.exr,../../data/IRS/OfficeMedley3_BL2/n_02339.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02339.png
12,../../data/IRS/OfficeMedley3_BL2/l_02341.png,../../data/IRS/OfficeMedley3_BL2/d_02341.exr,../../data/IRS/OfficeMedley3_BL2/n_02341.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02341.png
13,../../data/IRS/OfficeMedley3_BL2/l_02342.png,../../data/IRS/OfficeMedley3_BL2/d_02342.exr,../../data/IRS/OfficeMedley3_BL2/n_02342.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02342.png
14,../../data/IRS/OfficeMedley3_BL2/l_02343.png,../../data/IRS/OfficeMedley3_BL2/d_02343.exr,../../data/IRS/OfficeMedley3_BL2/n_02343.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02343.png
15,../../data/IRS/OfficeMedley3_BL2/l_02344.png,../../data/IRS/OfficeMedley3_BL2/d_02344.exr,../../data/IRS/OfficeMedley3_BL2/n_02344.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02344.png
16,../../data/IRS/OfficeMedley3_BL2/l_02345.png,../../data/IRS/OfficeMedley3_BL2/d_02345.exr,../../data/IRS/OfficeMedley3_BL2/n_02345.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02345.png
17,../../data/IRS/OfficeMedley3_BL2/l_02346.png,../../data/IRS/OfficeMedley3_BL2/d_02346.exr,../../data/IRS/OfficeMedley3_BL2/n_02346.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02346.png
18,../../data/IRS/OfficeMedley3_BL2/l_02347.png,../../data/IRS/OfficeMedley3_BL2/d_02347.exr,../../data/IRS/OfficeMedley3_BL2/n_02347.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02347.png
19,../../data/IRS/OfficeMedley3_BL2/l_02348.png,../../data/IRS/OfficeMedley3_BL2/d_02348.exr,../../data/IRS/OfficeMedley3_BL2/n_02348.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02348.png
20,../../data/IRS/OfficeMedley3_BL2/l_02349.png,../../data/IRS/OfficeMedley3_BL2/d_02349.exr,../../data/IRS/OfficeMedley3_BL2/n_02349.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02349.png
21,../../data/IRS/OfficeMedley3_BL2/l_02350.png,../../data/IRS/OfficeMedley3_BL2/d_02350.exr,../../data/IRS/OfficeMedley3_BL2/n_02350.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02350.png
22,../../data/IRS/OfficeMedley3_BL2/l_02351.png,../../data/IRS/OfficeMedley3_BL2/d_02351.exr,../../data/IRS/OfficeMedley3_BL2/n_02351.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02351.png
23,../../data/IRS/OfficeMedley3_BL2/l_02352.png,../../data/IRS/OfficeMedley3_BL2/d_02352.exr,../../data/IRS/OfficeMedley3_BL2/n_02352.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02352.png
24,../../data/IRS/OfficeMedley3_BL2/l_02353.png,../../data/IRS/OfficeMedley3_BL2/d_02353.exr,../../data/IRS/OfficeMedley3_BL2/n_02353.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02353.png
25,../../data/IRS/OfficeMedley3_BL2/l_02354.png,../../data/IRS/OfficeMedley3_BL2/d_02354.exr,../../data/IRS/OfficeMedley3_BL2/n_02354.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02354.png
26,../../data/IRS/OfficeMedley3_BL2/l_02355.png,../../data/IRS/OfficeMedley3_BL2/d_02355.exr,../../data/IRS/OfficeMedley3_BL2/n_02355.exr,../../data/depthanything/IRS/OfficeMedley3_BL2/l_02355.png
