,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000006/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000006/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000006/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000006/image.png
1,1,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000009/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000009/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000009/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000009/image.png
2,2,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000012/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000012/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000012/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000012/image.png
3,3,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000015/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000015/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000015/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000015/image.png
4,4,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000018/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000018/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000018/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000018/image.png
5,5,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000021/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000021/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000021/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000021/image.png
6,6,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000024/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000024/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000024/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000024/image.png
7,7,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000027/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000027/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000027/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000027/image.png
8,8,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000030/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000030/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000030/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000030/image.png
9,9,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000033/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000033/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000033/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000033/image.png
10,10,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000036/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000036/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000036/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000036/image.png
11,11,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000039/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000039/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000039/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000039/image.png
12,12,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000042/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000042/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000042/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000042/image.png
13,13,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000045/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000045/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000045/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000045/image.png
14,14,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000048/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000048/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000048/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000048/image.png
15,15,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000051/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000051/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000051/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000051/image.png
16,16,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000054/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000054/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000054/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000054/image.png
17,17,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000057/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000057/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000057/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000057/image.png
18,18,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000060/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000060/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000060/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000060/image.png
19,19,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000063/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000063/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000063/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000063/image.png
20,20,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000069/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000069/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000069/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0002/image_02/0000000069/image.png
21,21,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000016/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000016/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000016/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000016/image.png
22,22,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000032/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000032/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000032/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000032/image.png
23,23,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000048/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000048/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000048/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000048/image.png
24,24,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000064/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000064/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000064/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000064/image.png
25,25,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000080/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000080/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000080/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000080/image.png
26,26,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000096/image.jpg,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000096/depth.png,../../data/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000096/meta.json,KITTI,../../data/depthanything/moge_dataset/KITTI/2011_09_26_drive_0009/image_02/0000000096/image.png
