,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/NYUv2/00000/image.jpg,../../data/moge_dataset/NYUv2/00000/depth.png,../../data/moge_dataset/NYUv2/00000/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00000/image.png
1,1,../../data/moge_dataset/NYUv2/00001/image.jpg,../../data/moge_dataset/NYUv2/00001/depth.png,../../data/moge_dataset/NYUv2/00001/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00001/image.png
2,2,../../data/moge_dataset/NYUv2/00008/image.jpg,../../data/moge_dataset/NYUv2/00008/depth.png,../../data/moge_dataset/NYUv2/00008/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00008/image.png
3,3,../../data/moge_dataset/NYUv2/00013/image.jpg,../../data/moge_dataset/NYUv2/00013/depth.png,../../data/moge_dataset/NYUv2/00013/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00013/image.png
4,4,../../data/moge_dataset/NYUv2/00014/image.jpg,../../data/moge_dataset/NYUv2/00014/depth.png,../../data/moge_dataset/NYUv2/00014/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00014/image.png
5,5,../../data/moge_dataset/NYUv2/00015/image.jpg,../../data/moge_dataset/NYUv2/00015/depth.png,../../data/moge_dataset/NYUv2/00015/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00015/image.png
6,6,../../data/moge_dataset/NYUv2/00016/image.jpg,../../data/moge_dataset/NYUv2/00016/depth.png,../../data/moge_dataset/NYUv2/00016/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00016/image.png
7,7,../../data/moge_dataset/NYUv2/00017/image.jpg,../../data/moge_dataset/NYUv2/00017/depth.png,../../data/moge_dataset/NYUv2/00017/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00017/image.png
8,8,../../data/moge_dataset/NYUv2/00020/image.jpg,../../data/moge_dataset/NYUv2/00020/depth.png,../../data/moge_dataset/NYUv2/00020/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00020/image.png
9,9,../../data/moge_dataset/NYUv2/00027/image.jpg,../../data/moge_dataset/NYUv2/00027/depth.png,../../data/moge_dataset/NYUv2/00027/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00027/image.png
10,10,../../data/moge_dataset/NYUv2/00028/image.jpg,../../data/moge_dataset/NYUv2/00028/depth.png,../../data/moge_dataset/NYUv2/00028/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00028/image.png
11,11,../../data/moge_dataset/NYUv2/00029/image.jpg,../../data/moge_dataset/NYUv2/00029/depth.png,../../data/moge_dataset/NYUv2/00029/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00029/image.png
12,12,../../data/moge_dataset/NYUv2/00030/image.jpg,../../data/moge_dataset/NYUv2/00030/depth.png,../../data/moge_dataset/NYUv2/00030/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00030/image.png
13,13,../../data/moge_dataset/NYUv2/00031/image.jpg,../../data/moge_dataset/NYUv2/00031/depth.png,../../data/moge_dataset/NYUv2/00031/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00031/image.png
14,14,../../data/moge_dataset/NYUv2/00032/image.jpg,../../data/moge_dataset/NYUv2/00032/depth.png,../../data/moge_dataset/NYUv2/00032/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00032/image.png
15,15,../../data/moge_dataset/NYUv2/00033/image.jpg,../../data/moge_dataset/NYUv2/00033/depth.png,../../data/moge_dataset/NYUv2/00033/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00033/image.png
16,16,../../data/moge_dataset/NYUv2/00034/image.jpg,../../data/moge_dataset/NYUv2/00034/depth.png,../../data/moge_dataset/NYUv2/00034/meta.json,NYUv2,../../data/depthanything/moge_dataset/NYUv2/00034/image.png
