,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/Sintel/alley_1/frame_0001/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0001/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0001/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0001/image.png
1,1,../../data/moge_dataset/Sintel/alley_1/frame_0002/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0002/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0002/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0002/image.png
2,2,../../data/moge_dataset/Sintel/alley_1/frame_0003/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0003/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0003/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0003/image.png
3,3,../../data/moge_dataset/Sintel/alley_1/frame_0004/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0004/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0004/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0004/image.png
4,4,../../data/moge_dataset/Sintel/alley_1/frame_0005/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0005/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0005/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0005/image.png
5,5,../../data/moge_dataset/Sintel/alley_1/frame_0006/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0006/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0006/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0006/image.png
6,6,../../data/moge_dataset/Sintel/alley_1/frame_0007/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0007/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0007/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0007/image.png
7,7,../../data/moge_dataset/Sintel/alley_1/frame_0008/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0008/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0008/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0008/image.png
8,8,../../data/moge_dataset/Sintel/alley_1/frame_0009/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0009/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0009/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0009/image.png
9,9,../../data/moge_dataset/Sintel/alley_1/frame_0010/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0010/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0010/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0010/image.png
10,10,../../data/moge_dataset/Sintel/alley_1/frame_0011/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0011/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0011/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0011/image.png
11,11,../../data/moge_dataset/Sintel/alley_1/frame_0012/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0012/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0012/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0012/image.png
12,12,../../data/moge_dataset/Sintel/alley_1/frame_0013/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0013/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0013/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0013/image.png
13,13,../../data/moge_dataset/Sintel/alley_1/frame_0014/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0014/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0014/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0014/image.png
14,14,../../data/moge_dataset/Sintel/alley_1/frame_0015/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0015/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0015/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0015/image.png
15,15,../../data/moge_dataset/Sintel/alley_1/frame_0016/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0016/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0016/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0016/image.png
16,16,../../data/moge_dataset/Sintel/alley_1/frame_0017/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0017/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0017/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0017/image.png
17,17,../../data/moge_dataset/Sintel/alley_1/frame_0018/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0018/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0018/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0018/image.png
18,18,../../data/moge_dataset/Sintel/alley_1/frame_0019/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0019/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0019/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0019/image.png
19,19,../../data/moge_dataset/Sintel/alley_1/frame_0020/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0020/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0020/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0020/image.png
20,20,../../data/moge_dataset/Sintel/alley_1/frame_0021/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0021/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0021/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0021/image.png
21,21,../../data/moge_dataset/Sintel/alley_1/frame_0022/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0022/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0022/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0022/image.png
22,22,../../data/moge_dataset/Sintel/alley_1/frame_0023/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0023/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0023/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0023/image.png
23,23,../../data/moge_dataset/Sintel/alley_1/frame_0024/image.jpg,../../data/moge_dataset/Sintel/alley_1/frame_0024/depth.png,../../data/moge_dataset/Sintel/alley_1/frame_0024/meta.json,Sintel,../../data/depthanything/moge_dataset/Sintel/alley_1/frame_0024/image.png
