,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/Spring/0001/0001/image.jpg,../../data/moge_dataset/Spring/0001/0001/depth.png,../../data/moge_dataset/Spring/0001/0001/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0001/image.png
1,1,../../data/moge_dataset/Spring/0001/0006/image.jpg,../../data/moge_dataset/Spring/0001/0006/depth.png,../../data/moge_dataset/Spring/0001/0006/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0006/image.png
2,2,../../data/moge_dataset/Spring/0001/0011/image.jpg,../../data/moge_dataset/Spring/0001/0011/depth.png,../../data/moge_dataset/Spring/0001/0011/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0011/image.png
3,3,../../data/moge_dataset/Spring/0001/0016/image.jpg,../../data/moge_dataset/Spring/0001/0016/depth.png,../../data/moge_dataset/Spring/0001/0016/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0016/image.png
4,4,../../data/moge_dataset/Spring/0001/0021/image.jpg,../../data/moge_dataset/Spring/0001/0021/depth.png,../../data/moge_dataset/Spring/0001/0021/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0021/image.png
5,5,../../data/moge_dataset/Spring/0001/0026/image.jpg,../../data/moge_dataset/Spring/0001/0026/depth.png,../../data/moge_dataset/Spring/0001/0026/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0026/image.png
6,6,../../data/moge_dataset/Spring/0001/0031/image.jpg,../../data/moge_dataset/Spring/0001/0031/depth.png,../../data/moge_dataset/Spring/0001/0031/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0031/image.png
7,7,../../data/moge_dataset/Spring/0001/0036/image.jpg,../../data/moge_dataset/Spring/0001/0036/depth.png,../../data/moge_dataset/Spring/0001/0036/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0036/image.png
8,8,../../data/moge_dataset/Spring/0001/0041/image.jpg,../../data/moge_dataset/Spring/0001/0041/depth.png,../../data/moge_dataset/Spring/0001/0041/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0041/image.png
9,9,../../data/moge_dataset/Spring/0001/0046/image.jpg,../../data/moge_dataset/Spring/0001/0046/depth.png,../../data/moge_dataset/Spring/0001/0046/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0046/image.png
10,10,../../data/moge_dataset/Spring/0001/0051/image.jpg,../../data/moge_dataset/Spring/0001/0051/depth.png,../../data/moge_dataset/Spring/0001/0051/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0051/image.png
11,11,../../data/moge_dataset/Spring/0001/0056/image.jpg,../../data/moge_dataset/Spring/0001/0056/depth.png,../../data/moge_dataset/Spring/0001/0056/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0056/image.png
12,12,../../data/moge_dataset/Spring/0001/0061/image.jpg,../../data/moge_dataset/Spring/0001/0061/depth.png,../../data/moge_dataset/Spring/0001/0061/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0061/image.png
13,13,../../data/moge_dataset/Spring/0001/0066/image.jpg,../../data/moge_dataset/Spring/0001/0066/depth.png,../../data/moge_dataset/Spring/0001/0066/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0066/image.png
14,14,../../data/moge_dataset/Spring/0001/0071/image.jpg,../../data/moge_dataset/Spring/0001/0071/depth.png,../../data/moge_dataset/Spring/0001/0071/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0071/image.png
15,15,../../data/moge_dataset/Spring/0001/0076/image.jpg,../../data/moge_dataset/Spring/0001/0076/depth.png,../../data/moge_dataset/Spring/0001/0076/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0076/image.png
16,16,../../data/moge_dataset/Spring/0001/0081/image.jpg,../../data/moge_dataset/Spring/0001/0081/depth.png,../../data/moge_dataset/Spring/0001/0081/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0081/image.png
17,17,../../data/moge_dataset/Spring/0001/0086/image.jpg,../../data/moge_dataset/Spring/0001/0086/depth.png,../../data/moge_dataset/Spring/0001/0086/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0086/image.png
18,18,../../data/moge_dataset/Spring/0001/0091/image.jpg,../../data/moge_dataset/Spring/0001/0091/depth.png,../../data/moge_dataset/Spring/0001/0091/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0091/image.png
19,19,../../data/moge_dataset/Spring/0001/0096/image.jpg,../../data/moge_dataset/Spring/0001/0096/depth.png,../../data/moge_dataset/Spring/0001/0096/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0096/image.png
20,20,../../data/moge_dataset/Spring/0001/0101/image.jpg,../../data/moge_dataset/Spring/0001/0101/depth.png,../../data/moge_dataset/Spring/0001/0101/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0101/image.png
21,21,../../data/moge_dataset/Spring/0001/0106/image.jpg,../../data/moge_dataset/Spring/0001/0106/depth.png,../../data/moge_dataset/Spring/0001/0106/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0106/image.png
22,22,../../data/moge_dataset/Spring/0001/0111/image.jpg,../../data/moge_dataset/Spring/0001/0111/depth.png,../../data/moge_dataset/Spring/0001/0111/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0111/image.png
23,23,../../data/moge_dataset/Spring/0001/0116/image.jpg,../../data/moge_dataset/Spring/0001/0116/depth.png,../../data/moge_dataset/Spring/0001/0116/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0116/image.png
24,24,../../data/moge_dataset/Spring/0001/0121/image.jpg,../../data/moge_dataset/Spring/0001/0121/depth.png,../../data/moge_dataset/Spring/0001/0121/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0121/image.png
25,25,../../data/moge_dataset/Spring/0001/0126/image.jpg,../../data/moge_dataset/Spring/0001/0126/depth.png,../../data/moge_dataset/Spring/0001/0126/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0126/image.png
26,26,../../data/moge_dataset/Spring/0001/0131/image.jpg,../../data/moge_dataset/Spring/0001/0131/depth.png,../../data/moge_dataset/Spring/0001/0131/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0131/image.png
27,27,../../data/moge_dataset/Spring/0001/0136/image.jpg,../../data/moge_dataset/Spring/0001/0136/depth.png,../../data/moge_dataset/Spring/0001/0136/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0136/image.png
28,28,../../data/moge_dataset/Spring/0001/0141/image.jpg,../../data/moge_dataset/Spring/0001/0141/depth.png,../../data/moge_dataset/Spring/0001/0141/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0141/image.png
29,29,../../data/moge_dataset/Spring/0001/0146/image.jpg,../../data/moge_dataset/Spring/0001/0146/depth.png,../../data/moge_dataset/Spring/0001/0146/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0146/image.png
30,30,../../data/moge_dataset/Spring/0001/0151/image.jpg,../../data/moge_dataset/Spring/0001/0151/depth.png,../../data/moge_dataset/Spring/0001/0151/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0151/image.png
31,31,../../data/moge_dataset/Spring/0001/0156/image.jpg,../../data/moge_dataset/Spring/0001/0156/depth.png,../../data/moge_dataset/Spring/0001/0156/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0156/image.png
32,32,../../data/moge_dataset/Spring/0001/0161/image.jpg,../../data/moge_dataset/Spring/0001/0161/depth.png,../../data/moge_dataset/Spring/0001/0161/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0161/image.png
33,33,../../data/moge_dataset/Spring/0001/0166/image.jpg,../../data/moge_dataset/Spring/0001/0166/depth.png,../../data/moge_dataset/Spring/0001/0166/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0166/image.png
34,34,../../data/moge_dataset/Spring/0001/0171/image.jpg,../../data/moge_dataset/Spring/0001/0171/depth.png,../../data/moge_dataset/Spring/0001/0171/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0171/image.png
35,35,../../data/moge_dataset/Spring/0001/0176/image.jpg,../../data/moge_dataset/Spring/0001/0176/depth.png,../../data/moge_dataset/Spring/0001/0176/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0176/image.png
36,36,../../data/moge_dataset/Spring/0001/0181/image.jpg,../../data/moge_dataset/Spring/0001/0181/depth.png,../../data/moge_dataset/Spring/0001/0181/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0181/image.png
37,37,../../data/moge_dataset/Spring/0001/0186/image.jpg,../../data/moge_dataset/Spring/0001/0186/depth.png,../../data/moge_dataset/Spring/0001/0186/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0186/image.png
38,38,../../data/moge_dataset/Spring/0001/0191/image.jpg,../../data/moge_dataset/Spring/0001/0191/depth.png,../../data/moge_dataset/Spring/0001/0191/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0191/image.png
39,39,../../data/moge_dataset/Spring/0001/0196/image.jpg,../../data/moge_dataset/Spring/0001/0196/depth.png,../../data/moge_dataset/Spring/0001/0196/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0196/image.png
40,40,../../data/moge_dataset/Spring/0001/0201/image.jpg,../../data/moge_dataset/Spring/0001/0201/depth.png,../../data/moge_dataset/Spring/0001/0201/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0201/image.png
41,41,../../data/moge_dataset/Spring/0001/0206/image.jpg,../../data/moge_dataset/Spring/0001/0206/depth.png,../../data/moge_dataset/Spring/0001/0206/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0206/image.png
42,42,../../data/moge_dataset/Spring/0001/0211/image.jpg,../../data/moge_dataset/Spring/0001/0211/depth.png,../../data/moge_dataset/Spring/0001/0211/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0211/image.png
43,43,../../data/moge_dataset/Spring/0001/0216/image.jpg,../../data/moge_dataset/Spring/0001/0216/depth.png,../../data/moge_dataset/Spring/0001/0216/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0216/image.png
44,44,../../data/moge_dataset/Spring/0001/0221/image.jpg,../../data/moge_dataset/Spring/0001/0221/depth.png,../../data/moge_dataset/Spring/0001/0221/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0221/image.png
45,45,../../data/moge_dataset/Spring/0001/0226/image.jpg,../../data/moge_dataset/Spring/0001/0226/depth.png,../../data/moge_dataset/Spring/0001/0226/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0226/image.png
46,46,../../data/moge_dataset/Spring/0001/0231/image.jpg,../../data/moge_dataset/Spring/0001/0231/depth.png,../../data/moge_dataset/Spring/0001/0231/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0231/image.png
47,47,../../data/moge_dataset/Spring/0001/0236/image.jpg,../../data/moge_dataset/Spring/0001/0236/depth.png,../../data/moge_dataset/Spring/0001/0236/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0236/image.png
48,48,../../data/moge_dataset/Spring/0001/0241/image.jpg,../../data/moge_dataset/Spring/0001/0241/depth.png,../../data/moge_dataset/Spring/0001/0241/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0241/image.png
49,49,../../data/moge_dataset/Spring/0001/0246/image.jpg,../../data/moge_dataset/Spring/0001/0246/depth.png,../../data/moge_dataset/Spring/0001/0246/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0001/0246/image.png
50,50,../../data/moge_dataset/Spring/0002/0003/image.jpg,../../data/moge_dataset/Spring/0002/0003/depth.png,../../data/moge_dataset/Spring/0002/0003/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0002/0003/image.png
51,51,../../data/moge_dataset/Spring/0002/0008/image.jpg,../../data/moge_dataset/Spring/0002/0008/depth.png,../../data/moge_dataset/Spring/0002/0008/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0002/0008/image.png
52,52,../../data/moge_dataset/Spring/0002/0013/image.jpg,../../data/moge_dataset/Spring/0002/0013/depth.png,../../data/moge_dataset/Spring/0002/0013/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0002/0013/image.png
53,53,../../data/moge_dataset/Spring/0002/0018/image.jpg,../../data/moge_dataset/Spring/0002/0018/depth.png,../../data/moge_dataset/Spring/0002/0018/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0002/0018/image.png
54,54,../../data/moge_dataset/Spring/0002/0023/image.jpg,../../data/moge_dataset/Spring/0002/0023/depth.png,../../data/moge_dataset/Spring/0002/0023/meta.json,Spring,../../data/depthanything/moge_dataset/Spring/0002/0023/image.png
