,Unnamed: 0,image,depth,normal,control_geo
0,0,../../data/UnrealStereo4K/00000/Image0/00000.jpg,../../data/UnrealStereo4K/00000/Disp0/00000.npy,../../data/UnrealStereo4K/00000/normal/00000.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00000.png
1,1,../../data/UnrealStereo4K/00000/Image0/00001.jpg,../../data/UnrealStereo4K/00000/Disp0/00001.npy,../../data/UnrealStereo4K/00000/normal/00001.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00001.png
2,2,../../data/UnrealStereo4K/00000/Image0/00002.jpg,../../data/UnrealStereo4K/00000/Disp0/00002.npy,../../data/UnrealStereo4K/00000/normal/00002.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00002.png
3,3,../../data/UnrealStereo4K/00000/Image0/00003.jpg,../../data/UnrealStereo4K/00000/Disp0/00003.npy,../../data/UnrealStereo4K/00000/normal/00003.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00003.png
4,4,../../data/UnrealStereo4K/00000/Image0/00004.jpg,../../data/UnrealStereo4K/00000/Disp0/00004.npy,../../data/UnrealStereo4K/00000/normal/00004.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00004.png
5,5,../../data/UnrealStereo4K/00000/Image0/00005.jpg,../../data/UnrealStereo4K/00000/Disp0/00005.npy,../../data/UnrealStereo4K/00000/normal/00005.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00005.png
6,6,../../data/UnrealStereo4K/00000/Image0/00006.jpg,../../data/UnrealStereo4K/00000/Disp0/00006.npy,../../data/UnrealStereo4K/00000/normal/00006.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00006.png
7,7,../../data/UnrealStereo4K/00000/Image0/00007.jpg,../../data/UnrealStereo4K/00000/Disp0/00007.npy,../../data/UnrealStereo4K/00000/normal/00007.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00007.png
8,8,../../data/UnrealStereo4K/00000/Image0/00008.jpg,../../data/UnrealStereo4K/00000/Disp0/00008.npy,../../data/UnrealStereo4K/00000/normal/00008.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00008.png
9,9,../../data/UnrealStereo4K/00000/Image0/00009.jpg,../../data/UnrealStereo4K/00000/Disp0/00009.npy,../../data/UnrealStereo4K/00000/normal/00009.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00009.png
10,10,../../data/UnrealStereo4K/00000/Image0/00010.jpg,../../data/UnrealStereo4K/00000/Disp0/00010.npy,../../data/UnrealStereo4K/00000/normal/00010.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00010.png
11,11,../../data/UnrealStereo4K/00000/Image0/00011.jpg,../../data/UnrealStereo4K/00000/Disp0/00011.npy,../../data/UnrealStereo4K/00000/normal/00011.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00011.png
12,12,../../data/UnrealStereo4K/00000/Image0/00012.jpg,../../data/UnrealStereo4K/00000/Disp0/00012.npy,../../data/UnrealStereo4K/00000/normal/00012.png,../../data/depthanything/UnrealStereo4K/00000/Image0/00012.png
