,Unnamed: 0,image,depth,normal,control_geo
0,0,../../data/UrbanSyn/rgb/rgb_0001.png,../../data/UrbanSyn/depth/depth_0001.exr,../../data/UrbanSyn/normal/normal_0001.png,../../data/depthanything/UrbanSyn/rgb/rgb_0001.png
1,1,../../data/UrbanSyn/rgb/rgb_0002.png,../../data/UrbanSyn/depth/depth_0002.exr,../../data/UrbanSyn/normal/normal_0002.png,../../data/depthanything/UrbanSyn/rgb/rgb_0002.png
2,2,../../data/UrbanSyn/rgb/rgb_0003.png,../../data/UrbanSyn/depth/depth_0003.exr,../../data/UrbanSyn/normal/normal_0003.png,../../data/depthanything/UrbanSyn/rgb/rgb_0003.png
3,3,../../data/UrbanSyn/rgb/rgb_0004.png,../../data/UrbanSyn/depth/depth_0004.exr,../../data/UrbanSyn/normal/normal_0004.png,../../data/depthanything/UrbanSyn/rgb/rgb_0004.png
4,4,../../data/UrbanSyn/rgb/rgb_0005.png,../../data/UrbanSyn/depth/depth_0005.exr,../../data/UrbanSyn/normal/normal_0005.png,../../data/depthanything/UrbanSyn/rgb/rgb_0005.png
5,5,../../data/UrbanSyn/rgb/rgb_0006.png,../../data/UrbanSyn/depth/depth_0006.exr,../../data/UrbanSyn/normal/normal_0006.png,../../data/depthanything/UrbanSyn/rgb/rgb_0006.png
6,6,../../data/UrbanSyn/rgb/rgb_0007.png,../../data/UrbanSyn/depth/depth_0007.exr,../../data/UrbanSyn/normal/normal_0007.png,../../data/depthanything/UrbanSyn/rgb/rgb_0007.png
7,7,../../data/UrbanSyn/rgb/rgb_0008.png,../../data/UrbanSyn/depth/depth_0008.exr,../../data/UrbanSyn/normal/normal_0008.png,../../data/depthanything/UrbanSyn/rgb/rgb_0008.png
8,8,../../data/UrbanSyn/rgb/rgb_0009.png,../../data/UrbanSyn/depth/depth_0009.exr,../../data/UrbanSyn/normal/normal_0009.png,../../data/depthanything/UrbanSyn/rgb/rgb_0009.png
9,9,../../data/UrbanSyn/rgb/rgb_0010.png,../../data/UrbanSyn/depth/depth_0010.exr,../../data/UrbanSyn/normal/normal_0010.png,../../data/depthanything/UrbanSyn/rgb/rgb_0010.png
10,10,../../data/UrbanSyn/rgb/rgb_0011.png,../../data/UrbanSyn/depth/depth_0011.exr,../../data/UrbanSyn/normal/normal_0011.png,../../data/depthanything/UrbanSyn/rgb/rgb_0011.png
11,11,../../data/UrbanSyn/rgb/rgb_0012.png,../../data/UrbanSyn/depth/depth_0012.exr,../../data/UrbanSyn/normal/normal_0012.png,../../data/depthanything/UrbanSyn/rgb/rgb_0012.png
