,Unnamed: 0,image,depth,dataset,normal,control_geo
0,0,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0000.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0000.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0000.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0000.tonemap.png
1,1,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0001.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0001.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0001.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0001.tonemap.png
2,2,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0002.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0002.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0002.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0002.tonemap.png
3,3,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0003.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0003.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0003.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0003.tonemap.png
4,4,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0005.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0005.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0005.tonemap.png
5,5,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0004.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0004.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0004.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0004.tonemap.png
6,6,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0009.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0009.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0009.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0009.tonemap.png
7,7,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0014.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0014.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0014.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0014.tonemap.png
8,8,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0019.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0019.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0019.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0019.tonemap.png
9,9,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0006.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0006.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0006.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0006.tonemap.png
