,Unnamed: 0,image,depth,meta,dataset,control_geo
0,0,../../data/moge_dataset/iBims-1/corridor_01/image.jpg,../../data/moge_dataset/iBims-1/corridor_01/depth.png,../../data/moge_dataset/iBims-1/corridor_01/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_01/image.png
1,1,../../data/moge_dataset/iBims-1/corridor_02/image.jpg,../../data/moge_dataset/iBims-1/corridor_02/depth.png,../../data/moge_dataset/iBims-1/corridor_02/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_02/image.png
2,2,../../data/moge_dataset/iBims-1/corridor_03/image.jpg,../../data/moge_dataset/iBims-1/corridor_03/depth.png,../../data/moge_dataset/iBims-1/corridor_03/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_03/image.png
3,3,../../data/moge_dataset/iBims-1/corridor_04/image.jpg,../../data/moge_dataset/iBims-1/corridor_04/depth.png,../../data/moge_dataset/iBims-1/corridor_04/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_04/image.png
4,4,../../data/moge_dataset/iBims-1/corridor_05/image.jpg,../../data/moge_dataset/iBims-1/corridor_05/depth.png,../../data/moge_dataset/iBims-1/corridor_05/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_05/image.png
5,5,../../data/moge_dataset/iBims-1/corridor_06/image.jpg,../../data/moge_dataset/iBims-1/corridor_06/depth.png,../../data/moge_dataset/iBims-1/corridor_06/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_06/image.png
6,6,../../data/moge_dataset/iBims-1/corridor_07/image.jpg,../../data/moge_dataset/iBims-1/corridor_07/depth.png,../../data/moge_dataset/iBims-1/corridor_07/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_07/image.png
7,7,../../data/moge_dataset/iBims-1/corridor_08/image.jpg,../../data/moge_dataset/iBims-1/corridor_08/depth.png,../../data/moge_dataset/iBims-1/corridor_08/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_08/image.png
8,8,../../data/moge_dataset/iBims-1/corridor_09/image.jpg,../../data/moge_dataset/iBims-1/corridor_09/depth.png,../../data/moge_dataset/iBims-1/corridor_09/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_09/image.png
9,9,../../data/moge_dataset/iBims-1/corridor_10/image.jpg,../../data/moge_dataset/iBims-1/corridor_10/depth.png,../../data/moge_dataset/iBims-1/corridor_10/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/corridor_10/image.png
10,10,../../data/moge_dataset/iBims-1/factory_01/image.jpg,../../data/moge_dataset/iBims-1/factory_01/depth.png,../../data/moge_dataset/iBims-1/factory_01/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_01/image.png
11,11,../../data/moge_dataset/iBims-1/factory_02/image.jpg,../../data/moge_dataset/iBims-1/factory_02/depth.png,../../data/moge_dataset/iBims-1/factory_02/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_02/image.png
12,12,../../data/moge_dataset/iBims-1/factory_03/image.jpg,../../data/moge_dataset/iBims-1/factory_03/depth.png,../../data/moge_dataset/iBims-1/factory_03/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_03/image.png
13,13,../../data/moge_dataset/iBims-1/factory_04/image.jpg,../../data/moge_dataset/iBims-1/factory_04/depth.png,../../data/moge_dataset/iBims-1/factory_04/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_04/image.png
14,14,../../data/moge_dataset/iBims-1/factory_05/image.jpg,../../data/moge_dataset/iBims-1/factory_05/depth.png,../../data/moge_dataset/iBims-1/factory_05/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_05/image.png
15,15,../../data/moge_dataset/iBims-1/factory_06/image.jpg,../../data/moge_dataset/iBims-1/factory_06/depth.png,../../data/moge_dataset/iBims-1/factory_06/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_06/image.png
16,16,../../data/moge_dataset/iBims-1/factory_07/image.jpg,../../data/moge_dataset/iBims-1/factory_07/depth.png,../../data/moge_dataset/iBims-1/factory_07/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_07/image.png
17,17,../../data/moge_dataset/iBims-1/factory_08/image.jpg,../../data/moge_dataset/iBims-1/factory_08/depth.png,../../data/moge_dataset/iBims-1/factory_08/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/factory_08/image.png
18,18,../../data/moge_dataset/iBims-1/kitchen_01/image.jpg,../../data/moge_dataset/iBims-1/kitchen_01/depth.png,../../data/moge_dataset/iBims-1/kitchen_01/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_01/image.png
19,19,../../data/moge_dataset/iBims-1/kitchen_02/image.jpg,../../data/moge_dataset/iBims-1/kitchen_02/depth.png,../../data/moge_dataset/iBims-1/kitchen_02/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_02/image.png
20,20,../../data/moge_dataset/iBims-1/kitchen_03/image.jpg,../../data/moge_dataset/iBims-1/kitchen_03/depth.png,../../data/moge_dataset/iBims-1/kitchen_03/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_03/image.png
21,21,../../data/moge_dataset/iBims-1/kitchen_04/image.jpg,../../data/moge_dataset/iBims-1/kitchen_04/depth.png,../../data/moge_dataset/iBims-1/kitchen_04/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_04/image.png
22,22,../../data/moge_dataset/iBims-1/kitchen_05/image.jpg,../../data/moge_dataset/iBims-1/kitchen_05/depth.png,../../data/moge_dataset/iBims-1/kitchen_05/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_05/image.png
23,23,../../data/moge_dataset/iBims-1/kitchen_06/image.jpg,../../data/moge_dataset/iBims-1/kitchen_06/depth.png,../../data/moge_dataset/iBims-1/kitchen_06/meta.json,iBims-1,../../data/depthanything/moge_dataset/iBims-1/kitchen_06/image.png
