,Unnamed: 0,image,depth,normal,control_geo
0,0,../../data/synscapes/Synscapes/img/rgb/1.png,../../data/synscapes/Synscapes/img/depth/1.exr,../../data/synscapes/Synscapes/img/normal/1.png,../../data/depthanything/synscapes/Synscapes/img/rgb/1.png
1,1,../../data/synscapes/Synscapes/img/rgb/2.png,../../data/synscapes/Synscapes/img/depth/2.exr,../../data/synscapes/Synscapes/img/normal/2.png,../../data/depthanything/synscapes/Synscapes/img/rgb/2.png
2,2,../../data/synscapes/Synscapes/img/rgb/3.png,../../data/synscapes/Synscapes/img/depth/3.exr,../../data/synscapes/Synscapes/img/normal/3.png,../../data/depthanything/synscapes/Synscapes/img/rgb/3.png
3,3,../../data/synscapes/Synscapes/img/rgb/4.png,../../data/synscapes/Synscapes/img/depth/4.exr,../../data/synscapes/Synscapes/img/normal/4.png,../../data/depthanything/synscapes/Synscapes/img/rgb/4.png
4,4,../../data/synscapes/Synscapes/img/rgb/5.png,../../data/synscapes/Synscapes/img/depth/5.exr,../../data/synscapes/Synscapes/img/normal/5.png,../../data/depthanything/synscapes/Synscapes/img/rgb/5.png
5,5,../../data/synscapes/Synscapes/img/rgb/6.png,../../data/synscapes/Synscapes/img/depth/6.exr,../../data/synscapes/Synscapes/img/normal/6.png,../../data/depthanything/synscapes/Synscapes/img/rgb/6.png
6,6,../../data/synscapes/Synscapes/img/rgb/7.png,../../data/synscapes/Synscapes/img/depth/7.exr,../../data/synscapes/Synscapes/img/normal/7.png,../../data/depthanything/synscapes/Synscapes/img/rgb/7.png
7,7,../../data/synscapes/Synscapes/img/rgb/8.png,../../data/synscapes/Synscapes/img/depth/8.exr,../../data/synscapes/Synscapes/img/normal/8.png,../../data/depthanything/synscapes/Synscapes/img/rgb/8.png
8,8,../../data/synscapes/Synscapes/img/rgb/9.png,../../data/synscapes/Synscapes/img/depth/9.exr,../../data/synscapes/Synscapes/img/normal/9.png,../../data/depthanything/synscapes/Synscapes/img/rgb/9.png
9,9,../../data/synscapes/Synscapes/img/rgb/10.png,../../data/synscapes/Synscapes/img/depth/10.exr,../../data/synscapes/Synscapes/img/normal/10.png,../../data/depthanything/synscapes/Synscapes/img/rgb/10.png
10,10,../../data/synscapes/Synscapes/img/rgb/11.png,../../data/synscapes/Synscapes/img/depth/11.exr,../../data/synscapes/Synscapes/img/normal/11.png,../../data/depthanything/synscapes/Synscapes/img/rgb/11.png
11,11,../../data/synscapes/Synscapes/img/rgb/12.png,../../data/synscapes/Synscapes/img/depth/12.exr,../../data/synscapes/Synscapes/img/normal/12.png,../../data/depthanything/synscapes/Synscapes/img/rgb/12.png
12,12,../../data/synscapes/Synscapes/img/rgb/13.png,../../data/synscapes/Synscapes/img/depth/13.exr,../../data/synscapes/Synscapes/img/normal/13.png,../../data/depthanything/synscapes/Synscapes/img/rgb/13.png
13,13,../../data/synscapes/Synscapes/img/rgb/14.png,../../data/synscapes/Synscapes/img/depth/14.exr,../../data/synscapes/Synscapes/img/normal/14.png,../../data/depthanything/synscapes/Synscapes/img/rgb/14.png
14,14,../../data/synscapes/Synscapes/img/rgb/15.png,../../data/synscapes/Synscapes/img/depth/15.exr,../../data/synscapes/Synscapes/img/normal/15.png,../../data/depthanything/synscapes/Synscapes/img/rgb/15.png
15,15,../../data/synscapes/Synscapes/img/rgb/16.png,../../data/synscapes/Synscapes/img/depth/16.exr,../../data/synscapes/Synscapes/img/normal/16.png,../../data/depthanything/synscapes/Synscapes/img/rgb/16.png
16,16,../../data/synscapes/Synscapes/img/rgb/17.png,../../data/synscapes/Synscapes/img/depth/17.exr,../../data/synscapes/Synscapes/img/normal/17.png,../../data/depthanything/synscapes/Synscapes/img/rgb/17.png
17,17,../../data/synscapes/Synscapes/img/rgb/18.png,../../data/synscapes/Synscapes/img/depth/18.exr,../../data/synscapes/Synscapes/img/normal/18.png,../../data/depthanything/synscapes/Synscapes/img/rgb/18.png
18,18,../../data/synscapes/Synscapes/img/rgb/19.png,../../data/synscapes/Synscapes/img/depth/19.exr,../../data/synscapes/Synscapes/img/normal/19.png,../../data/depthanything/synscapes/Synscapes/img/rgb/19.png
19,19,../../data/synscapes/Synscapes/img/rgb/20.png,../../data/synscapes/Synscapes/img/depth/20.exr,../../data/synscapes/Synscapes/img/normal/20.png,../../data/depthanything/synscapes/Synscapes/img/rgb/20.png
20,20,../../data/synscapes/Synscapes/img/rgb/21.png,../../data/synscapes/Synscapes/img/depth/21.exr,../../data/synscapes/Synscapes/img/normal/21.png,../../data/depthanything/synscapes/Synscapes/img/rgb/21.png
21,21,../../data/synscapes/Synscapes/img/rgb/22.png,../../data/synscapes/Synscapes/img/depth/22.exr,../../data/synscapes/Synscapes/img/normal/22.png,../../data/depthanything/synscapes/Synscapes/img/rgb/22.png
