,image,depth,dataset,normal,control_geo
0,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00000.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00000.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00000.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00000.png
1,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00001.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00001.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00001.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00001.png
2,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00002.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00002.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00002.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00002.png
3,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00003.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00003.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00003.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00003.png
4,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00004.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00004.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00004.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00004.png
5,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00005.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00005.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00005.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00005.png
6,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00006.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00006.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00006.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00006.png
7,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00007.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00007.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00007.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00007.png
8,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00008.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00008.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00008.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00008.png
9,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00009.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00009.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00009.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00009.png
10,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00010.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00010.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00010.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00010.png
11,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00011.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00011.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00011.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00011.png
12,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00012.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00012.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00012.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00012.png
13,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00013.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00013.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00013.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00013.png
14,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00014.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00014.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00014.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00014.png
15,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00015.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00015.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00015.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00015.png
16,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00016.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00016.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00016.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00016.png
17,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00017.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00017.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00017.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00017.png
18,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00018.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00018.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00018.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00018.png
19,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00019.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00019.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00019.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00019.png
20,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00020.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00020.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00020.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00020.png
21,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00021.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00021.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00021.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00021.png
22,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00022.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00022.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00022.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00022.png
23,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00023.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00023.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00023.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00023.png
24,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00024.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00024.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00024.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00024.png
25,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00025.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00025.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00025.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00025.png
26,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00026.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00026.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00026.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00026.png
27,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00027.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00027.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00027.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00027.png
28,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00028.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00028.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00028.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00028.png
29,../../data/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00029.jpg,../../data/vkitti/depth/Scene02/clone/frames/depth/Camera_0/depth_00029.png,vkitti,../../data/vkitti/normal/Scene02/clone/frames/normal/Camera_0/normal_00029.png,../../data/depthanything/vkitti/rgb/Scene02/clone/frames/rgb/Camera_0/rgb_00029.png
